claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
2759,58,M,1.0,83,117115,1,0,Own,85027,4/2/2015,Thursday,Local,0,1.0,88,Broker,0,0.0,4,Medium,55066.87556348014,other,21515.14956,0
11338,37,F,0.0,76,57945,1,0,Rent,85004,12/14/2015,Monday,Parking Lot,14,0.0,2,Broker,1,0.0,1,Large,29937.566096358787,blue,22570.44842,0
23150,33,F,0.0,82,79027,1,0,Rent,85027,2/13/2016,Saturday,Local,0,1.0,95,Broker,1,0.0,1,Compact,15000.0,black,10701.0886,0
19040,43,F,0.0,40,98544,1,0,Own,15028,9/28/2015,Monday,Parking Lot,0,0.0,100,Broker,0,850.63,1,Large,92867.35440769266,white,21434.93439,1
10803,43,F,1.0,84,62619,1,1,Own,20148,2/4/2016,Thursday,Parking Lot,9,0.0,58,Broker,0,3375.85,1,Medium,74071.73486331945,blue,48036.29694,0
3290,33,M,0.0,24,67660,1,1,Own,85019,6/25/2016,Saturday,Highway,10,0.0,67,Broker,1,237.85,1,Compact,39595.265915836535,blue,26329.90983,0
26137,65,F,1.0,55,45982,1,1,Own,20153,11/11/2016,Friday,Local,12,0.0,100,Broker,1,1793.27,3,Large,15000.0,red,16699.65854,0
20586,51,F,1.0,84,82167,1,1,Own,85033,6/11/2016,Saturday,Local,8,0.0,1,Broker,0,877.52,1,Compact,15000.0,white,4998.0271,0
4756,51,F,1.0,46,111998,1,1,Rent,15049,9/11/2016,Sunday,Local,0,0.0,97,Online,1,1974.98,4,Medium,15000.0,black,18490.05859,0
19697,63,F,1.0,72,59794,1,0,Own,20130,6/14/2016,Tuesday,Local,0,0.0,95,Broker,1,3851.14,2,Compact,94282.05097648971,black,38644.86554,0
23991,47,M,1.0,43,108888,1,1,Own,85022,12/15/2016,Thursday,Parking Lot,0,0.0,13,Broker,0,3995.36,7,Large,15000.0,other,15800.7448,0
19512,59,F,1.0,91,110812,1,1,Own,85078,4/20/2015,Monday,Local,0,0.0,41,Broker,1,0.0,4,Compact,48796.87560924169,red,23175.18071,0
25021,41,M,1.0,70,92973,0,0,Rent,85034,2/28/2015,Saturday,Local,14,0.0,50,Phone,1,0.0,11,Large,15000.0,red,23605.10513,1
22205,31,M,1.0,86,92834,0,1,Own,20164,2/19/2016,Friday,Highway,9,0.0,69,Broker,1,606.92,1,Medium,15000.0,other,22086.44797,1
26101,48,M,1.0,89,89906,1,0,Own,15033,12/2/2015,Wednesday,Highway,0,0.0,47,Broker,1,5122.01,1,Large,15000.0,black,17695.01417,0
2447,58,M,1.0,73,35649,1,0,Rent,20132,8/20/2016,Saturday,Parking Lot,14,0.0,81,Broker,1,1136.73,1,Compact,34786.85982300338,red,27563.54692,0
18874,62,F,1.0,96,55856,1,1,Own,20152,8/23/2015,Sunday,Parking Lot,0,1.0,0,Broker,1,1916.13,1,Compact,15000.0,gray,21797.50318,0
13168,50,M,1.0,73,99220,1,1,Rent,80002,3/26/2015,Thursday,Highway,18,0.0,63,Broker,1,1302.25,13,Medium,15000.0,silver,35564.86548,0
1872,44,F,0.0,69,43182,0,0,Own,85018,10/6/2015,Tuesday,Local,0,0.0,76,Broker,0,0.0,1,Compact,78576.37704529995,blue,10820.43667,1
